precio,area_m2,habitaciones,baños,estrato,administracion,parqueadero,equipado,sauna,calefaccion,porteria,vista_panoramica,vista_exterior,picina,terraza,balcon,area_terraza_balcon_m2,antiguead,barrio,codigo,date,descripcion,localidad,piso
580000000.0,100.0,3.0,3.0,4.0,750000.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Más de 20 años,BOSQUE IZQUIERDO,3115-M4115036,Sun Apr  2 16:42:41 2023,"Hermoso apartamento ubicado en uno de los sectores más tradicionales de Bogotá, el Bosque Izquierdo. Cuenta con sala comedor con chimenea, cocina integral semiabierta, baño social, tres habitaciones, la principal con baño y vestier, baño de alcobas. Vista exterior, elegante edificio. 2 parqueaderos y depósito. Excelente ubicación a pocas cuadras de la calle 26, la Cra. 5 y el barrio La Macarena.",santa fe,2
420000000.0,51.0,1.0,2.0,4.0,293000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,,Entre 0 y 5 años,Bosque Izquierdo,11229-M3795175,Sun Apr  2 16:42:48 2023,"Se vende hermoso apartamento en el barrio Bosque izquierdo cerca a zona gastronómica de la Macarena, 51 mtrs2 con 1 habitación, 2 baños, cocina abierta tipo americano, estudio, closet de linos, walking closet en la habitación, sala amplia, barra para comedor, balcón, deposito y un parqueadero cubierto independiente. Excelente diseño con muy buena iluminación y ventilación. Acabados de lujo, edificio nuevo con terraza BBQ, gimnasio dotado, sala de negocios, salón comunal y juegos infantiles. Ubicación privilegiada, cerca a Universidades, oficinas, zona comercial, Zona de restaurantes en La macarena, Plaza de Toros, D1, supermercados, colegios, Vias principales como la circunvalar, la 26 y la séptima, bancos, cerca a estaciones de transmilenio, rodeado de muchos parques en zona muy tranquila. El precio del apartamento es amoblado, todos los artículos del apartamento son nuevos. Excelente valorización.",santa fe,6
390000000.0,59.0,1.0,2.0,4.0,272000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Entre 0 y 5 años,La Macarena,815-M4127762,Sun Apr  2 16:42:57 2023,"Moderno apartamento, con céntrica ubicación en la ciudad de Bogotá. Area 59 mts y amplia terraza con 22 mts de uso exclusivo, full vista a los jardines internos del condominio Una cómoda habitación con baño privado, sala comedor y baño social, cocina abierta equipada campana, horno gas natural, calentador a gas, zona de lavandería, ,un parqueadero cubierto. depósito, estrato 4. Condominio con vigilancia física y electrónica 24 horas. Construido año 2.018. Asesor Alberto Siabatto 318",santa fe,
375000000.0,55.07,1.0,2.0,4.0,307100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,Entre 5 y 10 años,Bosque Izquierdo,34-M3893033,Sun Apr  2 16:43:03 2023,"Hermoso apartamento para inversionistas con vista a los cerros orientales con lindo balcon, una habitacion, dos baños y cocina integrada a la zona social",santa fe,
365000000.0,59.18,1.0,2.0,4.0,322500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,Entre 5 y 10 años,Bosque Izquierdo,34-M3892983,Sun Apr  2 16:43:11 2023,"Hermoso apartamento para inversionistas con vista a los cerros orientales con lindo balcon, una habitacion, dos baños y cocina integrada a la zona social",santa fe,
310000000.0,40.0,1.0,1.0,3.0,144406.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,Entre 5 y 10 años,Bosque Izquierdo,5082-M4132663,Sun Apr  2 16:43:17 2023,"Apartamento ubicado en el edificio bacata, con 40 m2, excelente ubicación, excelente vista, ubicado en el piso 18 con ascensor. Cuenta con 1 habitación, 1 baño, sala comedor, cocina integral, piso en tableta, balcón, vista al exterior. En el mismo edificio se encuentra un carulla, heladería de crepes and waffles, smart fit gym, casino, entre otros.",santa fe,
375000000.0,55.07,1.0,2.0,3.0,279000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,Entre 5 y 10 años,Bosque Izquierdo,164-M3044997,Sun Apr  2 16:43:24 2023,"ENCANTADOR Aparta-estudio con Balcon en Bosque izquierdo, piso 8, con una ubicacion ideal para disfrutar de una excelente vista, cerca de universidades, museos. Dentro del conjunto podra recorrer zonas verdes, las zonas comunes como salon comunal, parque infantil y gimnasio. El aparta-estudio cuenta con amplios espacios y con gran iluminacion natural, cocina integral tipo americana abierta a la sala-comedor que da paso a un espectacular balcon amplio, para apreciar los amaneceres de la ciudad. Posee una excelente distribucion, habitacion con closet y 2 baños . Cuenta con parqueadero y deposito. Cualquier informacion adicional contactenos al numero 317-6437752 o al correo electronico juan.lamadridinmobiliariabogota.com. El equipo de Inmobiliaria Bogota esta comprometido a brindar una experiencia de vida excepcional para nuestros clientes desde el momento en que se unen a nuestra comunidad.",santa fe,
365000000.0,59.0,1.0,2.0,3.0,180000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Entre 5 y 10 años,Bosque Izquierdo,164-M3045104,Sun Apr  2 16:43:29 2023,"ENCANTADOR APARTA-estudio con Balcon en el centro, con una ubicacion ideal para disfrutar de una excelente vista, cerca de universidades, museos. Dentro del conjunto podra recorrer zonas verdes, las zonas comunes como salon comunal, parque infantil y gimnasio. El aparta-estudio cuenta con amplios espacios y con gran iluminacion natural, cocina integral tipo americana abierta a la sala-comedor que da paso a un espectacular balcon amplio, para apreciar los amaneceres de la ciudad. Posee una excelente distribucion habitacion con closet y 2 baños . Cuenta con parqueadero y deposito. Cualquier informacion adicional contactenos al numero 316-8310754 o al correo electronico beatriz.hernandezinmobiliariabogota.com. El equipo de Inmobiliaria Bogota esta comprometido a brindar una experiencia de vida excepcional para nuestros clientes desde el momento en que se unen a nuestra comunidad.",santa fe,
1650000000.0,423.1,5.0,4.0,3.0,588480.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Entre 10 y 20 años,Bosque Izquierdo,2732-M4166244,Sun Apr  2 16:43:33 2023,"Bosque Izquierdo-Espectacular e iconica casa, ideal para centro cultural, cafe,restaurante. Cuenta con 3 plantas , en la primera hay un sotano , 2 parqueaderos y deposito amplio. Segunda planta con zona central, cocina integral a gas y abierta, 3 espacios indep, 2 baños. Pisos de madera, techos altos con ventanal central. Tercer piso con 4 salones, 2 baños, cocineta y espacio bodega. Gran altillo, techos remodelados. Cerca a todas las comodidades del sector",santa fe,
175000000.0,19.26,1.0,1.0,3.0,200000.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,Entre 0 y 5 años,Bosque Izquierdo,897-M4104257,Sun Apr  2 16:43:40 2023,"Oportunidad para inversionistas, apartaestudio en coliving rentando, cuenta con una alcoba, un baño, cocina y estudio, el parqueadero es asignado de acuerdo a disponibilidad. El edificio cuenta con zonas comunes con diseño y moderno para que los residentes puedan compartir tales como salas de estudio, areas de recreacion, coworking, bar, comedor, terraza panorámica, BBQ, piscina, jacuzzi, gimnasio, cinema y game room tambien cuenta con servicios complementarios como lavanderia, restaurante y minimarket. El edificio es administrado por un operador especializado que se hace cargo del mantenimiento y dotacion como en un hotel. El propietario recibe un ingreso de acuerdo al porcentaje de participacion de su inmueble en la bolsa completa que genera el edificio. La ocupacion en el ultimo año fue del 90 .",santa fe,
