No.,LOCALIDAD,TIPO DE PARQUE,NOMBRE DEL PARQUE O ESCENARIO,DIRECCIÓN,LATITUD,LONGITUD
1,USAQUEN,ZONAL,ALTA BLANCA,Carrera 8A #158-04,4.7343153,-74.02878439999999
2,USAQUEN,VECINAL,DESARROLLO ESTRELLA DEL NORTE,Calle 159A #19B-60,4.7396353,-74.0450556
3,USAQUEN,VECINAL,DESARROLLO VERBENAL I,Calle 187 #19-22,4.7648608,-74.0402397
4,USAQUEN,METROPOLITANO,EL COUNTRY,Avenida Calle 127 #11D-90,4.7043664,-74.03850369999999
5,USAQUEN,ZONAL,LA VIDA,Carrera 14A #157-98,4.7383001,-74.0371402
6,USAQUEN,ZONAL,NUEVA AUTOPISTA,Carrera 23 #136-18,3.4409365,-76.5417166
7,USAQUEN,VECINAL,NUEVA URBANIZACIÓN EL CEDRITO,Calle 145 #9-90,4.7233639,-74.03354220000001
8,USAQUEN,ZONAL,SERVITA,Calle 165 #7-76,4.7418358,-74.0249153
9,USAQUEN,VECINAL,URBANIZACIÓN CALLE 170 / ALAMEDA,Calle 175 #17-11,4.7551647,-74.03807030000002
10,USAQUEN,VECINAL,URBANIZACIÓN TOBERIN,Calle 164 #16c-16,4.743539999999999,-74.03965339999999
11,CHAPINERO,ZONAL,CANAL EL VIRREY EL CHICO,Carrera 15 #88-02,4.673229,-74.05377109999999
12,CHAPINERO,ZONAL,GUSTAVO URIBE BOTERO,Carrera 1 #70-11,4.6505977,-74.05217569999999
13,CHAPINERO,ZONAL,SUCRE O HIPPIES,Calle 60 #7-49,20.9641746,-89.6236794
14,CHAPINERO,VECINAL,URBANIZACIÓN LA CABRERA,Carrera 11 #86A-43,4.670087,-74.050339
15,SANTA FE,VECINAL,DESARROLLO LOS LACHES,Diagonal 5A #8-30 Este,4.5848094,-74.0658856
16,SANTA FE,VECINAL,DESARROLLO LOURDES,Carrera 1a Este con Avenida calle 3,4.5876847,-74.0735156
17,SANTA FE,METROPOLITANO,INDEPENDENCIA BICENTENARIO,Calle 26b #5-87,4.6124603,-74.06869189999999
18,SANTA FE,ZONAL,LAS CRUCES,Carrera 5A #1-90,10.9459005,-74.8118146
19,SANTA FE,ZONAL,LOS LACHES LA MINA,Calle 5 con Carrera 8 Este,4.710988599999999,-74.072092
20,SANTA FE,METROPOLITANO,PARQUE NACIONAL (PM2A) ENRIQUE OLAYA HERRERA (SECTOR HISTORICO),Carrera 7 #37-04,4.6248149,-74.0659889
21,SANTA FE,ESCENARIO DEPORTIVO,PLAZA DE TOROS,Carrera 6 #26B-50,4.5695352,-74.0945967
22,SANTA FE,ZONAL,SENDERO A MONSERRATE,Carrera 3 Este con Vía Monserrate,4.6036133,-74.06146269999999
23,SANTA FE,METROPOLITANO,TERCER MILENIO,Calle 9 #11-85,4.598938299999999,-74.080771
24,SAN CRISTOBAL,METROPOLITANO,CEFE SAN CRISTOBAL,Carrera 3 Este con Calle 17A Sur,4.5727867,-74.0856953
