X,Y,objectid,numero_estacion,nombre_estacion,coordenada_x_estacion,coordenada_y_estacion,ubicacion_estacion,troncal_estacion,numero_vagones_estacion,numero_accesos_estacion,biciestacion_estacion,capacidad_biciestacion_estacion,tipo_estacion,biciparqueadero_estacion,latitud_estacion,longitud_estacion,globalid,created_user,created_date,last_edited_user,last_edited_date,codigo_nodo_estacion,componente_wifi,componente_aplificacion,log_replica
-74.0745615627404,4.66634138453863,1,07103,AV. Chile,1000326.9067,1007756.2952,Kr 30 Cl 72,NQS,6,2,0,0,4,0,4.66634138,-74.07456156,{F055422B-BD16-4DCE-BEEF-2AD5D8D0D555},,,,,7103,,,
-74.0990475915766,4.6468808881934,2,06103,CAN,997610.0435,1005604.3582,Carrera 60,Calle 26,4,1,0,0,4,0,4.64688089,-74.09904759,{AD7C6926-90EC-428C-A4D8-46FBB826A717},,,,,6103,,,
-74.0786991285729,4.64539603019043,3,07106,Campín,999867.8276,1005440.124,Kr 30 Cl 53,NQS,2,2,0,0,4,0,4.64539603,-74.07869913,{FE684396-CDD5-44E5-A998-85528256441F},,,,,7106,,,
-74.0714966957184,4.61089732815177,4,10008,San Diego,1000667.0148,1001625.2083,Kra 10- Cl23,Cr 7-10,2,2,0,0,4,0,4.61089733,-74.0714967,{54948C3D-058F-4370-83C8-58688E9CADA8},,,,,10008,,,
-74.0960155145355,4.69914792021659,5,04100,Granja - Carrera 77,997946.6228,1011384.1234,Carrera 77 Bis,Calle 80,3,2,0,0,2,0,4.69914792,-74.09601551,{60A28773-5F3D-43BF-B831-F4057A66E641},,,,,4100,,,
-74.0938688766199,4.61168619527402,6,07111,Ricaurte - NQS,998184.5634,1001712.4604,Kr 30 Cl 10,NQS,3,2,1,165,3,1,4.6116862,-74.09386888,{D0ECBA3C-15C3-4BD6-AF72-6784BF12FE09},,,,,7111,,,
-74.1087256048565,4.7067438501003,7,04001,Quirigua,996536.5037,1012224.1448,Carrera 94,Calle 80,1,1,0,0,4,0,4.70674385,-74.1087256,{91B40CB7-A9D6-4F32-BF8F-0999D9391CEB},,,,,4001,,,
-74.0656178330199,4.69039830253579,8,03011,Suba - Calle 100,1001319.195,1010416.5597,Av Suba Cl 100,Suba,2,1,0,0,4,0,4.6903983,-74.06561783,{903304A2-2C9D-4637-9280-1FAEE0CA0E35},,,,,3011,,,
-74.0713102127949,4.67015567406064,9,07102,NQS - Calle 75,1000687.6499,1008178.0879,Kr 30 - Cl 75A,NQS,4,1,0,0,4,0,4.67015567,-74.07131021,{1DE35685-5378-460A-9841-A6D311113E10},,,,,7102,,,
-74.0871127746424,4.69395205475174,10,04102,AV. Boyacá,998934.3543,1010809.5358,Transversal 69 B,Calle 80,1,1,0,0,4,0,4.69395205,-74.08711277,{81877016-887A-473C-9034-1BB2769B9E67},,,,,4102,,,
-74.1200936793746,4.57585398823364,11,09100,Calle 40 S,995274.3838,997750.2041,Calle 38 Sur - Calle 40 Su,Caracas,3,2,0,0,2,0,4.57585399,-74.12009368,{A6CFD1BA-5C86-4A02-B394-587B3E8F532D},,,,,9100,,,
-74.1342250516118,4.63011339711252,12,05102,AV. Américas - AV. Boyacá,993706.7434,1003750.3983,Av. Americas -Carrera 71,Americas,4,1,1,32,4,1,4.6301134,-74.13422505,{57C95B7D-54E7-4317-BE9A-0733D271606B},,,,,5102,,,
-74.1301629204737,4.6296856099266,13,05103,Marsella,994157.4686,1003703.0582,Av. Americas -Carrera 69C,Americas,6,1,1,32,4,1,4.62968561,-74.13016292,{2B78B0E7-8BD5-4D5F-836A-49B6A7F919BD},,,,,5103,,,
-74.0722815173587,4.71193003766027,14,03006,Niza - Calle 127,1000579.8469,1012797.5673,Av Suba Cl 127,Suba,2,2,0,0,4,0,4.71193004,-74.07228152,{5CEAF8A4-0F6C-4A5A-8B38-30241CA522F0},,,,,3006,,,
-74.0910562668743,4.7425428414417,15,03001,La Campiña,998496.9338,1016182.7993,Av Suba Kr 98A,Suba,2,1,0,0,4,0,4.74254284,-74.09105627,{42A12F7D-B19D-498E-9CB9-BC364F6F7AEE},,,,,3001,,,
