X,Y,objectid,cenefa,zona_sitp,nombre,via,direccion_bandera,localidad,longitud,latitud,consecutivo_zona,tipo_m_s,consola,panel,audio,zonas_nuevas,globalid
-74.0639713908793,4.68848076904524,1,001A00,00,C.C. Iserra 100,AC 100,AC 100 - KR 54,Barrios Unidos,-74.06397139,4.68848077,001,M,AC 100 - KR 54 (001A00),AC 100 - KR 54,Avenida Calle 100 Carrera 54,C,{1C1EDC47-96EB-4853-9189-97B765A8AF81}
-74.0459144889156,4.68409095343384,2,001A01,01,Br. Rincón del Chicó,AC 100,AC 100 - KR 13,Usaquén,-74.04591449,4.68409095,001,M,AC 100 - KR 13 (001A01),AC 100 - KR 13,Avenida Calle 100 Carrera 13,B,{F086C285-653E-452F-947B-792103055740}
-74.0663501400865,4.75986663309753,3,001A02,02,Gimnasio Iragua,AV. Boyacá,AV. Boyacá - AC 170,Suba,-74.06635014,4.75986663,001,S,AV. Boyacá - AC 170 (001A02),AV. Boyacá - AC 170,Avenida Boyacá Avenida Calle 170,C,{9A771489-8D3B-41CD-9042-2E2250DCE844}
-74.0714391790451,4.68950396357068,4,001A03,03,Br. Julio Flórez,AC 100,AC 100 - KR 66A,Suba,-74.07143918,4.68950396,001,M,AC 100 - KR 66A  (001A03),AC 100 - KR 66A,Avenida Calle 100 Carrera 66 A,D,{55C06634-40A2-4938-B6F3-B869EE78F507}
-74.0803920468132,4.68262599522609,5,001A04,04,Avenida Calle 80,AK 68,AK 68 - CL 79D,Barrios Unidos,-74.08039205,4.682626,001,M,AK 68 - CL 79D (001A04),AK 68 - CL 79D,Avenida Carrera 68 Calle 79 D,D,{DEB197F6-DD6A-40A5-AD2F-87169E3131D4}
-74.0843836253965,4.65192649094552,6,001A05,05,Br. Pablo VI Norte,AK 50,AK 50 - CL 59,Teusaquillo,-74.08438362,4.65192649,001,S,AK 50 - CL 59 (001A05),AK 50 - CL 59,Avenida Carrera 50 Calle 59,K,{7E569749-A827-46C1-ADB9-C6CF77F0ABE9}
-74.1177236366161,4.63810998983285,7,001A06,06,Avenida Calle 13,AK 68,AK 68 - AC 13,Fontibón,-74.11772364,4.63810999,001,M,AK 68 - AC 13 (001A06),AK 68 - AC 13,Avenida Carrera 68 Avenida Calle 13,K,{D9CB49A4-9C24-4E45-AD15-E282372ECBFA}
-74.1080122928452,4.62549076130205,8,001A07,07,Br. San Francisco,AK 50,AK 50 - TV 49,Puente Aranda,-74.10801229,4.62549076,001,S,AK 50 - TV 49 (001A07),AK 50 - TV 49,Avenida Carrera 50 Transversal 49,F,{07450617-A877-4A5F-9F87-33C7F2F5D8E5}
-74.1260213720612,4.61944724898802,9,001A08,08,Br. Hipotecho Sur,AK 68,AK 68 - CL 3 Sur,Kennedy,-74.12602137,4.61944725,001,M,AK 68 - CL 3 Sur (001A08),AK 68 - CL 3 Sur,Avenida Carrera 68 Calle Tercera Sur,F,{D5925147-EC9A-4CAF-8E97-BAADF90DFC46}
-74.1362727316487,4.59832741160303,10,001A09,09,Br. Alquería La Fragua II,AK 68,AK 68 - CL 39I Sur,Kennedy,-74.13627273,4.59832741,001,M,AK 68 - CL 39I Sur (001A09),AK 68 - CL 39I Sur,Avenida Carrera 68 Calle 39 I Sur,G,{C64C9D17-CF49-4440-8918-19897ABDE188}
