precio,area_m2,habitaciones,baños,estrato,barrio,antiguead,administracion,parqueadero,piso,codigo,equipado,sauna,jacuzzi,calefaccion,porteria,vista_panoramica,vista_exterior,picina,terraza,balcon,area_terraza_balcon_m2,descripcion,link,query,date
580000000,100.0,3,3,4,BOSQUE IZQUIERDO,Más de 20 años,750000.0,2.0,2,3115-M4115036,0,0,0,0,0,1,0,0,0,0,,"Hermoso apartamento ubicado en uno de los sectores más tradicionales de Bogotá, el Bosque Izquierdo. Cuenta con sala comedor con chimenea, cocina integral semiabierta, baño social, tres habitaciones, la principal con baño y vestier, baño de alcobas. Vista exterior, elegante edificio. 2 parqueaderos y depósito. Excelente ubicación a pocas cuadras de la calle 26, la Cra. 5 y el barrio La Macarena.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-izquierdo-3-habitaciones-3-banos-2-garajes/3115-M4115036,bosque-izquierdo,Sun Apr  2 16:42:41 2023
420000000,51.0,1,2,4,Bosque Izquierdo,Entre 0 y 5 años,293000.0,1.0,6,11229-M3795175,1,0,0,1,1,0,0,0,1,1,,"Se vende hermoso apartamento en el barrio Bosque izquierdo cerca a zona gastronómica de la Macarena, 51 mtrs2 con 1 habitación, 2 baños, cocina abierta tipo americano, estudio, closet de linos, walking closet en la habitación, sala amplia, barra para comedor, balcón, deposito y un parqueadero cubierto independiente. Excelente diseño con muy buena iluminación y ventilación. Acabados de lujo, edificio nuevo con terraza BBQ, gimnasio dotado, sala de negocios, salón comunal y juegos infantiles. Ubicación privilegiada, cerca a Universidades, oficinas, zona comercial, Zona de restaurantes en La macarena, Plaza de Toros, D1, supermercados, colegios, Vias principales como la circunvalar, la 26 y la séptima, bancos, cerca a estaciones de transmilenio, rodeado de muchos parques en zona muy tranquila. El precio del apartamento es amoblado, todos los artículos del apartamento son nuevos. Excelente valorización.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-izquierdo-1-habitaciones-2-banos-1-garajes/11229-M3795175,bosque-izquierdo,Sun Apr  2 16:42:48 2023
390000000,59.0,1,2,4,La Macarena,Entre 0 y 5 años,,1.0,,815-M4127762,0,0,0,0,0,0,0,0,1,0,1.0,"Moderno apartamento, con céntrica ubicación en la ciudad de Bogotá. Area 59 mts y amplia terraza con 22 mts de uso exclusivo, full vista a los jardines internos del condominio Una cómoda habitación con baño privado, sala comedor y baño social, cocina abierta equipada campana, horno gas natural, calentador a gas, zona de lavandería, ,un parqueadero cubierto. depósito, estrato 4. Condominio con vigilancia física y electrónica 24 horas. Construido año 2.018. Asesor Alberto Siabatto 318",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-izquierdo-1-habitaciones-2-banos-1-garajes/815-M4127762,bosque-izquierdo,Sun Apr  2 16:42:57 2023
375000000,55.07,1,2,4,Bosque Izquierdo,Entre 5 y 10 años,307100.0,1.0,,34-M3893033,0,0,0,0,0,0,0,0,0,1,,"Hermoso apartamento para inversionistas con vista a los cerros orientales con lindo balcon, una habitacion, dos baños y cocina integrada a la zona social",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-izquierdo-1-habitaciones-2-banos-1-garajes/34-M3893033,bosque-izquierdo,Sun Apr  2 16:43:03 2023
365000000,59.18,1,2,4,Bosque Izquierdo,Entre 5 y 10 años,322500.0,1.0,,34-M3892983,0,0,0,0,0,0,0,0,0,1,,"Hermoso apartamento para inversionistas con vista a los cerros orientales con lindo balcon, una habitacion, dos baños y cocina integrada a la zona social",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-izquierdo-1-habitaciones-2-banos-1-garajes/34-M3892983,bosque-izquierdo,Sun Apr  2 16:43:11 2023
310000000,40.0,1,1,3,Bosque Izquierdo,Entre 5 y 10 años,144406.0,,,5082-M4132663,0,0,0,0,0,0,1,0,0,1,,"Apartamento ubicado en el edificio bacata, con 40 m2, excelente ubicación, excelente vista, ubicado en el piso 18 con ascensor. Cuenta con 1 habitación, 1 baño, sala comedor, cocina integral, piso en tableta, balcón, vista al exterior. En el mismo edificio se encuentra un carulla, heladería de crepes and waffles, smart fit gym, casino, entre otros.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-las-nieves-1-habitaciones-1-banos/5082-M4132663,bosque-izquierdo,Sun Apr  2 16:43:17 2023
375000000,55.07,1,2,3,Bosque Izquierdo,Entre 5 y 10 años,279000.0,1.0,,164-M3044997,0,0,0,0,0,0,0,0,0,1,,"ENCANTADOR Aparta-estudio con Balcon en Bosque izquierdo, piso 8, con una ubicacion ideal para disfrutar de una excelente vista, cerca de universidades, museos. Dentro del conjunto podra recorrer zonas verdes, las zonas comunes como salon comunal, parque infantil y gimnasio. El aparta-estudio cuenta con amplios espacios y con gran iluminacion natural, cocina integral tipo americana abierta a la sala-comedor que da paso a un espectacular balcon amplio, para apreciar los amaneceres de la ciudad. Posee una excelente distribucion, habitacion con closet y 2 baños . Cuenta con parqueadero y deposito. Cualquier informacion adicional contactenos al numero 317-6437752 o al correo electronico juan.lamadridinmobiliariabogota.com. El equipo de Inmobiliaria Bogota esta comprometido a brindar una experiencia de vida excepcional para nuestros clientes desde el momento en que se unen a nuestra comunidad.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-izquierdo-1-habitaciones-2-banos-1-garajes/164-M3044997,bosque-izquierdo,Sun Apr  2 16:43:24 2023
365000000,59.0,1,2,3,Bosque Izquierdo,Entre 5 y 10 años,180000.0,1.0,,164-M3045104,0,0,0,0,0,0,0,0,0,0,,"ENCANTADOR APARTA-estudio con Balcon en el centro, con una ubicacion ideal para disfrutar de una excelente vista, cerca de universidades, museos. Dentro del conjunto podra recorrer zonas verdes, las zonas comunes como salon comunal, parque infantil y gimnasio. El aparta-estudio cuenta con amplios espacios y con gran iluminacion natural, cocina integral tipo americana abierta a la sala-comedor que da paso a un espectacular balcon amplio, para apreciar los amaneceres de la ciudad. Posee una excelente distribucion habitacion con closet y 2 baños . Cuenta con parqueadero y deposito. Cualquier informacion adicional contactenos al numero 316-8310754 o al correo electronico beatriz.hernandezinmobiliariabogota.com. El equipo de Inmobiliaria Bogota esta comprometido a brindar una experiencia de vida excepcional para nuestros clientes desde el momento en que se unen a nuestra comunidad.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-izquierdo-1-habitaciones-2-banos-1-garajes/164-M3045104,bosque-izquierdo,Sun Apr  2 16:43:29 2023
1650000000,423.1,5,4,3,Bosque Izquierdo,Entre 10 y 20 años,,2.0,,2732-M4166244,0,0,0,0,0,0,0,0,0,0,,"Bosque Izquierdo-Espectacular e iconica casa, ideal para centro cultural, cafe,restaurante. Cuenta con 3 plantas , en la primera hay un sotano , 2 parqueaderos y deposito amplio. Segunda planta con zona central, cocina integral a gas y abierta, 3 espacios indep, 2 baños. Pisos de madera, techos altos con ventanal central. Tercer piso con 4 salones, 2 baños, cocineta y espacio bodega. Gran altillo, techos remodelados. Cerca a todas las comodidades del sector",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-izquierdo-5-habitaciones-4-banos-2-garajes/2732-M4166244,bosque-izquierdo,Sun Apr  2 16:43:33 2023
175000000,19.26,1,1,3,Bosque Izquierdo,Entre 0 y 5 años,200000.0,1.0,,897-M4104257,1,1,0,1,0,1,0,1,0,0,,"Oportunidad para inversionistas, apartaestudio en coliving rentando, cuenta con una alcoba, un baño, cocina y estudio, el parqueadero es asignado de acuerdo a disponibilidad. El edificio cuenta con zonas comunes con diseño y moderno para que los residentes puedan compartir tales como salas de estudio, areas de recreacion, coworking, bar, comedor, terraza panorámica, BBQ, piscina, jacuzzi, gimnasio, cinema y game room tambien cuenta con servicios complementarios como lavanderia, restaurante y minimarket. El edificio es administrado por un operador especializado que se hace cargo del mantenimiento y dotacion como en un hotel. El propietario recibe un ingreso de acuerdo al porcentaje de participacion de su inmueble en la bolsa completa que genera el edificio. La ocupacion en el ultimo año fue del 90 .",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-las-nieves-1-habitaciones-1-banos-1-garajes/897-M4104257,bosque-izquierdo,Sun Apr  2 16:43:40 2023
390000000,60.0,1,2,3,LA MACARENA,Entre 5 y 10 años,285000.0,1.0,4,2328-M3053803,0,0,0,0,0,0,1,0,0,0,,"Financio espectacular apartamento para estrenar ubicado en lugar estratégico de la ciudad, muy cerca al centro histórico de la ciudad, centro internacional con ventanas termoacústicas, terraza, edificio con gimnasio, sala de juntas, BBQ, contacto Claudia Zarate.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-izquierdo-1-habitaciones-2-banos-1-garajes/2328-M3053803,bosque-izquierdo,Sun Apr  2 16:43:46 2023
320000000,47.0,1,2,3,BOSQUE IZQUIERDO,Entre 0 y 5 años,242900.0,1.0,2,753-M3166688,0,0,0,0,0,1,1,0,0,1,2.0,"Apartamento de 47 metros, iluminado, con acabados modernos, 2do piso. Cuenta con 1 alcoba, 2 baños, la alcoba principal con baño, baño social, sala comedor, cocina integral abierta a gas, zona de lavandería, 1 garaje cubierto y deposito. El edificio cuenta con salón comunal, gimnasio, terraza BBQ, terrazas comunales, mini golf. Vigilancia 24 horas. Cómodas vías de acceso Carrera 4, Calle 26a. Cerca a la Universidad Javeriana, al Parque de la Independencia y a la Iglesia Nuestra Señora del Perpetuo Socorro. Precio de venta negociable. Apartamento arrendado.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-izquierdo-1-habitaciones-2-banos-1-garajes/753-M3166688,bosque-izquierdo,Sun Apr  2 16:43:52 2023
