precio,area_m2,habitaciones,baños,estrato,barrio,antiguead,administracion,parqueadero,piso,codigo,equipado,sauna,jacuzzi,calefaccion,porteria,vista_panoramica,vista_exterior,picina,terraza,balcon,area_terraza_balcon_m2,descripcion,link,query,date
135000000,50.0,2,2,2,Tunjuelito,Entre 5 y 10 años,80000.0,,,973-M3835745,0,0,0,0,0,0,0,0,0,0,,"Conjunto Residencial ubicado al frente de la Av Boyaca, apartamento en muy buen estado, terminado, area de 50 mts, 2 alcobas, 2 baños, estrato 2. Valor del administracion 80.000",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-casa-de-teja-2-habitaciones-2-banos/973-M3835745,tunjuelito,Sun Apr  2 16:39:09 2023
320000000,155.0,3,2,2,Tunjuelito,Entre 0 y 5 años,100000.0,,,11813-M3938775,0,0,0,0,0,0,0,0,0,1,8.0,VEN ID HOUM 85027 En Houm te ayudamos de forma facil y segura Los beneficios de comprar con nosotros Te ayudamos a conseguir financiamiento a traves de una asesoria personalizada Mediacion y seguimiento de todo el proceso Ponemos a tu disposicion profesionales en notariado registro y asesoria juridica Solo te preocupas de las firmas Departamento en venta ubicado en el barrio San Carlos con una superficie construida de 155 m2 y superficie total de 155 m2 Sus principales caracteristicas son 3 dormitorios 2 banos Admite mascotas Cocina tipo americana Piso 6 Ano de construccion 2018 Cuarto de lavado Si compras con nosotros te brindamos asesoria personalizada durante todo el proceso Comienza una nueva etapa con Houm Compra facil rapido y seguro,https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-banco-central-3-habitaciones-2-banos/11813-M3938775,tunjuelito,Sun Apr  2 16:39:13 2023
167000000,48.0,2,1,3,Tunjuelito,Más de 20 años,120000.0,,,11813-M4137910,0,0,0,0,0,0,0,0,0,0,,VEN ID HOUM 105101 En Houm te ayudamos de forma facil y segura Los beneficios de comprar con nosotros Te ayudamos a conseguir financiamiento a traves de una asesoria personalizada Mediacion y seguimiento de todo el proceso Ponemos a tu disposicion profesionales en notariado registro y asesoria juridica Solo te preocupas de las firmas Departamento en venta ubicado en el barrio El Tunal con una superficie construida de 41 00 m2 y superficie total de 48 00 m2 Sus principales caracteristicas son 2 dormitorios 1 bano Admite mascotas Cocina tipo americana Piso 4 Ano de construccion 1990 Cuarto de lavado Ademas el inmueble cuenta con las siguientes amenidades Parqueadero de visitantes Si compras con nosotros te brindamos asesoria personalizada durante todo el proceso Comienza una nueva etapa con Houm Compra facil rapido y seguro,https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-tunjuelito-2-habitaciones-1-banos/11813-M4137910,tunjuelito,Sun Apr  2 16:39:18 2023
120000000,51.0,2,1,2,San Carlos Tunjuelito,Más de 20 años,,,o,2361-M3610183,0,0,0,0,0,0,0,0,0,0,,Venta de comodo Apartamento ubicado en el barrio san Carlos zona comercial con excelente transporte publico y buenas vías de acceso cerca a supermercados surtimayoristas y ara cerca a colegios parques y zonas familiares el apartamento tiene sala comedor cocina 2 habitaciones con closet baño y zona de lavado. excelente iluminación apartamento interno muy tranquilo.,https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-tunjuelito-2-habitaciones-1-banos/2361-M3610183,tunjuelito,Sun Apr  2 16:39:23 2023
170000000,37.0,1,1,3,Tunjuelito,Entre 0 y 5 años,,,,10222-M3993661,0,0,0,0,0,1,0,0,1,0,,"Para estrenar vendemos apartamento tipo loft en un séptimo piso con ascensor y vista exterior. Una habitación con closet y ventana interior, un baño con division en vidrio templado, cocina integral abierta con cara a la sala comedor y ventana exterior con muy bonica panoramica. Calentador a gas todos los pisos en madera laminada y el baño y la cocina en porcelanato y enchapes de buena calidad con tonos suaves y de buen gusto. Punto céntrico para tomar transporte y vias de facil acceso. En zona tradicionalmente comercial ubicado a dos cuadras de la Av. Primero de Mayo y a una cuadra de la Av. veintisiete. En ese edificio contamos con otros tres apartamentos, uno en el octavo piso, otro en el sexto y quinto. Todos para estrenar. Has tu cita Ya!",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-tunjuelito-1-habitaciones-1-banos/10222-M3993661,tunjuelito,Sun Apr  2 16:39:28 2023
159000000,44.0,2,2,3,Tunjuelito,Más de 20 años,100000.0,,,11813-M3938839,0,0,0,0,0,0,0,0,0,0,,VEN ID HOUM 57518 En Houm te ayudamos de forma facil y segura Los beneficios de comprar con nosotros Te ayudamos a conseguir financiamiento a traves de una asesoria personalizada Mediacion y seguimiento de todo el proceso Ponemos a tu disposicion profesionales en notariado registro y asesoria juridica Solo te preocupas de las firmas Departamento en venta ubicado en el barrio Ciudad Tunal Venecia con una superficie construida de 44 m2 y superficie total de 44 m2 Sus principales caracteristicas son 2 dormitorios 2 banos Admite mascotas Cocina tipo americana Ano de construccion 1992 Si compras con nosotros te brindamos asesoria personalizada durante todo el proceso Comienza una nueva etapa con Houm Compra facil rapido y seguro,https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-tunjuelito-2-habitaciones-2-banos/11813-M3938839,tunjuelito,Sun Apr  2 16:39:32 2023
125000000,40.0,2,2,2,PORTAL DE USME Rafael Uribe Uribe Tunjuelito,Entre 5 y 10 años,50000.0,,1,MC3826019,0,0,0,0,0,0,0,0,0,0,,"Totalmente terminado. Dos baños, cocina integral nueva, patio grande, administracion economica 50 mil pesos por mes, conjunto cerrado con celaduria 24 horas, ubicacion frente al Portal de Usme, al lado del Centro Comercial Altavista, a una cuadra de un CAI. Principal via de acceso av caracas, la cual esta haciedo ampliada de un nuevo carril, grandes pocibilidades de valorizacion",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-santa-marta-2-habitaciones-2-banos/MC3826019,tunjuelito,Sun Apr  2 16:39:36 2023
165000000,52.0,3,2,2,LA PICOTA Rafael Uribe Uribe Tunjuelito,Entre 10 y 20 años,73000.0,,5,MC4147426,0,0,0,0,0,0,0,0,0,0,,"Quinto piso,escaleras. Tres habitaciones , Un baño, Sala comedor Cocina Integral y zona de lavandería. piso cerámico en todas sus zonas. Parque para niños, zonas verdes, minimarket , zona BBQ, vigilancia. C.C. Altavista Hipoteca Setenta y tres millones de pesos.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-el-mochuelo-oriental-3-habitaciones-2-banos/MC4147426,tunjuelito,Sun Apr  2 16:39:41 2023
135000000,53.7,3,1,2,LA PICOTA Rafael Uribe Uribe Tunjuelito,Entre 10 y 20 años,152000.0,,2,MC4185211,0,0,0,0,0,0,0,0,0,0,,"Apartamento amplio comparado con los nuevos proyectos de vivienda, con remodelación reciente, muy buena conexión a transporte público a una cuadra de la avenida caracas y buena proyección a futuro sea como inversión o para recidir. En el momento se desarrollan obras de ampliación de la avenida Caracas, próxima estación de Transmilenio a menos de 300 metros y nuevos proyectos de vivienda nueva en la zona.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-la-picota-3-habitaciones-1-banos/MC4185211,tunjuelito,Sun Apr  2 16:39:45 2023
135000000,51.59,2,1,2,tunjuelito,Más de 20 años,,,2,10119-M4056029,0,0,0,0,0,0,0,0,0,0,,"Hermoso apartamento ubicado en zona residencial con buenos acabados , excelente iluminación y vías de acceso.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-tunjuelito-2-habitaciones-1-banos/10119-M4056029,tunjuelito,Sun Apr  2 16:39:50 2023
