precio,area_m2,habitaciones,baños,estrato,barrio,antiguead,administracion,parqueadero,piso,codigo,equipado,sauna,jacuzzi,calefaccion,porteria,vista_panoramica,vista_exterior,picina,terraza,balcon,area_terraza_balcon_m2,descripcion,link,query,date
450000000,51.0,1,2,5,Chapinero Alto,Entre 0 y 5 años,250000.0,1.0,1,13436-M3853187,0,0,0,1,1,1,0,0,0,1,6.0,"Carlos Alcala su asesor de Rent A House vende Hermoso apartaestudio a estrenar en Chapinero alto, con vista a los cerros y a la ciudad. Tiene terraza, cocina a gas, calentador de paso a gas, zona de lavanderia, vigilancia 24 horas, dos baños, garaje cubierto, deposito, puerta de seguridad. Pisos laminados, cocina y zonas humedas ceramica. Estrato 5. Ideal para profesionales, estudiantes y parejas jovenes. Tiene gimnasio y salon comunal. COD FLEX 23-1347",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-norte-1-habitaciones-2-banos-1-garajes/13436-M3853187,chapinero,Mon Apr  3 03:33:53 2023
350000000,57.5,2,2,3,Chapinero,Más de 20 años,616400.0,1.0,6,11369-M4115048,0,0,0,1,1,0,0,0,0,0,,Se vende apartamento duplex es Chapinero 57.50 M2 2 habitaciones Sala comedor 2 baños Cocina equipada Zona de lavandeía 1 parqieadero 1 depósitp Administración mensual de 616.400 pesos Seguridad 24 horas Salón de juntas Estrato 3 Año de construido 1996 Valor de venta 350 MM,https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-central-2-habitaciones-2-banos-1-garajes/11369-M4115048,chapinero,Mon Apr  3 03:34:00 2023
3000000000,299.0,4,5,4,Pardo Rubio,Entre 10 y 20 años,1450000.0,4.0,7,2266-M3566289,0,0,0,0,1,1,0,0,1,0,60.0,"Exclusivo apartamento de 300 m2 con espectacular terraza de 60 m2 con una vista inmejorable. Este exclusivo apartamento ubicado en el límite entre Chapi-Alto y Rosales goza de excelente ubicación tanto para ir al norte como para desplazarse hacia el sur. De generosos espacios y mucha iluminación. Cuenta con 4 alcobas, 3 con baño. Todos los baños tienen ventilación natural. Y todas las alcobas cuentan con vestier. Estar de alcobas, cocina cerrada amplia y muy iluminada, zona de lavandería independiente con ventilación natural y cuarto y baño de servicio. El apto cuenta con 4 parqueaderos y 4 depósitos. El edificio tiene 2 salones sociales buenos.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-emaus-4-habitaciones-5-banos-4-garajes/2266-M3566289,chapinero,Mon Apr  3 03:34:07 2023
1075000000,180.0,3,4,4,Chapinero Alto,Más de 20 años,840000.0,2.0,5,5168-M3694521,0,0,0,1,1,1,0,0,0,1,5.0,"Info 315 Tres Cuarenta y Cuatro 06 34 Luis Miguel Osorio. Lindo apartamento dúplex exterior, 5 piso con vista 1A sobre la ciudad, pisos en madera natural todo el apartamento, sala comedor abiertos, estudio, 3 cómodas alcobas, la principal con baño privado y balcón, baño auxiliar para las otras dos alcobas, cocina integral semi abierta, alcoba y baño del servicio, zona de ropas, 2 garajes independientes. El edificio cuenta con amplia recepción, gimnasio, parqueo visitantes, vigilancia 24 horas, cerca al Nueva Granada",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-las-acacias-3-habitaciones-4-banos-2-garajes/5168-M3694521,chapinero,Mon Apr  3 03:34:13 2023
919000000,115.0,2,2,5,EMAUS,Entre 10 y 20 años,1300000.0,2.0,4,4957-M4081027,0,0,0,0,1,0,0,0,0,1,3.0,Hermoso e Iluminado Apartamento en Emaus Calle 64 I Área 115 m2 I 17 años de antiguedad l Piso 4 Exterior l 2 habitaciones I 2 baños l Pisos en madera I Sala comedor l Balcón de 3 m2 l Cocina integral abierta I Cuarto de servicio con baño independiente l 2 parqueaderos en línea I Deposito l Admi 1300,https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-emaus-2-habitaciones-2-banos-2-garajes/4957-M4081027,chapinero,Mon Apr  3 03:34:20 2023
289999999,35.03,1,1,4,Chapinero Central,Entre 0 y 5 años,180800.0,1.0,6,11139-M3866236,0,1,1,0,0,1,0,0,1,0,1.0,"Innovador apartaestudio moderno para estrenar en el corazón de Bogotá excelente iluminación, bellos acabados, ventanas piso a techo, pisos en madera laminada, espacio para sala y comedor, cocina abierta tipo americano, zona de lavandería tipo armario y baño. Parqueadero cubierto propio. El edificio cuenta con una terraza comunal donde se tiene una zona TRX, zona de picnic, gimnasio al aire libre, sendero de trote, huerta urbana, zona de jacuzzi y BBQ, vista espectacular de la ciudad. Adicionalmente se cuenta con un Community Lounge el cual cuenta con una zona de coworking, cocineta, sala de TV y videojuegos, ping pong y futbolín. Con una ubicación céntrica y de alta valorización, IDEAL para VIVIENDA o INVERSION ya que puede operar como Airbnb, sector destacado por estar cerca a universidades, parques, restaurantes, zonas comerciales, sitios turísticos de la ciudad, con facilidad de acceso a transporte público para toda la ciudad, edificio ubicado frente a estación transmilenio.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-sagrado-corazon-1-habitaciones-1-banos-1-garajes/11139-M3866236,chapinero,Mon Apr  3 03:34:27 2023
540000000,84.0,2,2,4,Chapinero Alto,Entre 10 y 20 años,650000.0,1.0,2,5168-M4086031,0,0,0,1,1,0,0,0,0,0,,"Súper apartamento ubicado en el corazón de Chapinero alto, cerca de la zona G, donde se encuentra gran variedad de gastronomía. Al lado de la zona financiera. Muy iluminado, exterior con balcón, chimenea tradicional, espaciosa zona social para comedor y sala, cocina abierta con mesón, lavandería. Alcoba principal con vestier y baño. zona de estudio en el hall de alcobas y segunda habitación con su baño afuera. Un parqueadero y depósito. AM CHAVES Broker.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-la-salle-2-habitaciones-2-banos-1-garajes/5168-M4086031,chapinero,Mon Apr  3 03:34:33 2023
320000000,46.0,1,2,3,Chapinero Central,Entre 10 y 20 años,319000.0,1.0,6,2259-M3774143,0,0,0,0,0,0,0,0,1,0,,"Presentamos aparta estudio de 46 m2 en un 6 piso. Muy cerca de varias de las principales universidades de Bogotá. Al ingresar encontrará una alcoba, cocina abierta, sala-comedor, baño social, zona de lavandería y un parqueadero cubierto. El edificio tiene zona de juegos infantiles, gimnasio, salones comunales de eventos, lavandería, terraza BBQ, 2 ascensores, parqueaderos de visitantes y vigilancia 24 horas. Espectacular vista exterior hacía el occidente de la ciudad. Un apartamento que le aporta independencia, comodidad, y tranquilidad.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-pardo-rubio-1-habitaciones-2-banos-1-garajes/2259-M3774143,chapinero,Mon Apr  3 03:34:38 2023
1800000000,229.0,3,4,6,Altos Del Retiro,Más de 20 años,1300000.0,4.0,1,2328-M3856512,0,0,0,1,0,0,0,0,1,0,20.0,"Espectacular apartamento completamente remodelado, con espacios muy amplios, cada cuarto con su baño, el principal con vestier, cuarto y baño de servicio, un balcón grande en la zona social de 13 mts, 4 parqueaderos, acabados de luja, edificio con parque para niños, gimnasio y salon social. Contacto Daniela Morales",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-emaus-3-habitaciones-4-banos-4-garajes/2328-M3856512,chapinero,Mon Apr  3 03:34:43 2023
1200000000,167.0,3,4,6,Maria Cristina,Entre 10 y 20 años,660000.0,2.0,8,2328-M3029007,0,0,0,0,0,0,1,1,0,0,,"Presento en venta espectacular apartamento en sierra del este, compuesto por 3 torres, cada una tiene salón comunal, gimnasio, zona juegos adultos y zona juego niños, mini market, zonas húmedas con piscina climatizada, jacuzzi, sauna y turco, 3 canchas de squash y jaulas de golf, un polideportivo básquet, micro y voleibol, zona BBQ. tiene una ruta privada para el conjunto. El apartamento tiene 167 metros, 3 alcobas la principal con walking closet y baño con jacuzzi, baño social, sala comedor abierta con la cocina, estudio y chimenea a gas, cuarto de ropas y cuarto de servicio con baño. Contacto Liliana Zarate Suarez.",https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-maria-cristina-3-habitaciones-4-banos-2-garajes/2328-M3029007,chapinero,Mon Apr  3 03:34:49 2023
