precio,area_m2,habitaciones,baños,estrato,barrio,antiguead,administracion,parqueadero,codigo,equipado,sauna,jacuzzi,calefaccion,porteria,vista_panoramica,vista_exterior,picina,terraza,balcon,area_terraza_balcon_m2,localidad
1290000000,170.0,4,3,6,SANTA BARBARA USAQUEN,Más de 20 años,1490000.0,3,14876-M4050776,0,1,0,0,0,0,0,1,1,0,1.0,USAQUEN
450000000,89.37,3,2,4,CEDRITOS,Entre 10 y 20 años,301000.0,1,258-M3849369,0,0,0,0,0,0,0,0,0,0,0.0,USAQUEN
215000000,46.54,1,1,4,CEDRITOS,Más de 20 años,357000.0,1,13436-M4154580,0,0,0,1,1,0,0,0,0,0,0.0,USAQUEN
890000000,146.0,3,4,5,LA CALLEJA USAQUEN,Entre 10 y 20 años,760000.0,3,11307-M4133369,0,0,0,0,0,1,0,0,0,1,20.0,USAQUEN
930000000,189.0,5,4,3,USAQUEN,Más de 20 años,1120000.0,3,488-M3726771,1,0,0,0,0,1,0,0,1,0,,USAQUEN
1290000000,220.0,3,3,6,USAQUEN,Remodelado,1047400.0,2,2266-M3295354,0,1,1,0,0,1,0,0,0,0,0.0,USAQUEN
385000000,93.0,3,3,4,CEDRITOS,Más de 20 años,208000.0,1,5168-M3366721,0,0,0,1,0,0,1,0,0,0,0.0,USAQUEN
1400000000,276.63,4,5,6,SANTA BARBARA USAQUEN,Más de 20 años,1450000.0,3,12364-M3312610,0,0,0,0,0,0,0,0,0,1,6.0,USAQUEN
470000000,95.0,3,2,4,CEDRITOS,Entre 10 y 20 años,474000.0,1,614-M4041862,0,1,0,0,0,1,0,0,0,1,6.0,USAQUEN
1800000000,480.0,4,3,5,USAQUEN,Entre 5 y 10 años,,0,800-M2790291,0,0,0,0,0,1,0,0,0,1,6.0,USAQUEN
520000000,133.46,5,4,4,CEDRITOS,Más de 20 años,152000.0,1,164-M3044934,0,0,0,0,0,0,0,0,1,0,,USAQUEN
354000000,79.0,2,2,4,LAS ACACIAS,Más de 20 años,,1,2510-M4162920,0,0,0,0,0,0,0,0,0,0,0.0,USAQUEN
1100000000,138.0,4,5,5,SANTA BARBARA ORIENTAL USAQUEN,Entre 0 y 5 años,593000.0,2,9894-M3707446,0,0,0,0,0,0,0,0,0,1,6.0,USAQUEN
