precio,area_m2,habitaciones,baños,estrato,barrio,antiguead,administracion,parqueadero,codigo,equipado,sauna,jacuzzi,calefaccion,porteria,vista_panoramica,vista_exterior,picina,terraza,balcon,area_terraza_balcon_m2,localidad
290000000,65.0,3,2,3.0,SAN ANTONIO NORTE,Entre 10 y 20 años,242000.0,1,4969-M3496985,0,0,0,0,0,0,0,0,0,1,3.0,CHAPINERO
1295000000,248.0,3,4,5.0,COUNTRY CLUB USAQUEN 901,Más de 20 años,10000.0,3,874-M2806611,0,1,1,0,0,1,0,0,0,0,0.0,CHAPINERO
460000000,70.0,3,2,4.0,ESTRELLA DEL NORTE USAQUEN,Entre 10 y 20 años,320000.0,2,12947-M3887572,0,0,0,0,0,0,0,0,0,0,0.0,CHAPINERO
3500000000,380.0,4,5,6.0,PRADOS DEL COUNTRY USAQUEN,Más de 20 años,2200000.0,3,11013-M4014391,1,1,1,0,0,0,0,0,0,1,,CHAPINERO
5990000000,540.0,5,5,6.0,RECODO DEL COUNTRY USAQUEN,Entre 10 y 20 años,2679000.0,4,897-1004246,0,1,1,1,0,1,0,0,1,0,1.0,CHAPINERO
650000000,127.0,3,4,5.0,NUEVO COUNTRY USAQUEN,Más de 20 años,580000.0,2,2529-M4085615,0,0,0,1,0,0,0,0,0,1,,CHAPINERO
725000000,120.0,3,3,5.0,NUEVO COUNTRY USAQUEN,Más de 20 años,607000.0,2,703-M4075552,0,0,0,0,0,0,1,0,0,0,0.0,CHAPINERO
850000000,150.0,3,3,6.0,PRADOS DEL COUNTRY USAQUEN,Más de 20 años,705900.0,2,205-M3817465,0,0,0,0,0,0,1,0,0,0,0.0,CHAPINERO
530000000,115.0,3,2,5.0,MOLINOS NORTE,Más de 20 años,516000.0,2,897-1057008,0,0,0,1,0,0,0,0,0,0,0.0,CHAPINERO
1200000000,135.0,3,4,6.0,COUNTRY CLUB USAQUEN,Entre 0 y 5 años,863000.0,2,12041-M3501226,0,0,0,0,0,0,1,0,1,0,1.0,CHAPINERO
850000000,190.0,3,4,4.0,ESTRELLA DEL NORTE USAQUEN,Más de 20 años,700000.0,2,2361-M3794614,0,0,0,1,0,1,1,0,1,0,1.0,CHAPINERO
985000000,198.55,3,4,6.0,VERGEL DEL COUNTRY USAQUEN,Más de 20 años,658000.0,2,815-1345,0,0,0,0,0,0,1,0,1,0,1.0,CHAPINERO
406000000,82.0,3,2,5.0,COUNTRY CLUB USAQUEN,Más de 20 años,322300.0,1,12500-M3885595,0,0,0,1,0,0,0,0,0,0,0.0,CHAPINERO
1450000000,200.0,3,5,5.0,CHICO NAVARRA USAQUEN,Entre 10 y 20 años,1400000.0,3,3858-M4123120,0,1,0,0,1,0,0,0,1,1,,CHAPINERO
800000000,115.0,3,3,6.0,COUNTRY CLUB USAQUEN,Entre 10 y 20 años,590000.0,2,920-M3448774,0,0,0,0,0,0,1,0,1,0,1.0,CHAPINERO
490000000,81.0,2,3,4.0,COUNTRY CLUB USAQUEN,Entre 0 y 5 años,,2,2361-M3783845,0,0,0,1,0,0,0,0,0,1,,CHAPINERO
850000000,150.0,3,4,6.0,PRADOS DEL COUNTRY USAQUEN,Más de 20 años,705900.0,2,495-M3820923,0,0,0,0,0,0,0,0,0,0,0.0,CHAPINERO
270000000,72.0,4,2,3.0,SAN ANTONIO NORTE USAQUEN,Más de 20 años,,1,5031-10699,0,0,0,0,0,0,0,0,0,0,0.0,CHAPINERO
175000000,42.0,3,1,3.0,SAN ANTONIO NORTE USAQUEN,Entre 10 y 20 años,72000.0,0,399-M3574946,0,0,0,1,0,0,0,0,0,0,0.0,CHAPINERO
1200000000,138.0,3,4,5.0,COUNTRY CLUB USAQUEN,Más de 20 años,720000.0,3,5175-4091,0,1,0,0,0,0,1,0,0,0,0.0,CHAPINERO
1400000000,242.0,4,5,6.0,MOLINOS NORTE,Más de 20 años,1300000.0,0,5175-M4169181,0,0,1,0,0,0,0,0,0,0,0.0,CHAPINERO
315000000,75.0,3,3,4.0,ESTRELLA DEL NORTE USAQUEN,Entre 10 y 20 años,256000.0,1,5175-M3589289,0,0,0,0,0,0,1,0,0,0,0.0,CHAPINERO
190000000,52.0,3,2,3.0,SAN ANTONIO NORTE,Entre 5 y 10 años,,0,507-M3795839,0,0,0,0,0,0,0,0,0,0,0.0,CHAPINERO
1450000000,212.0,3,5,6.0,CERRO NORTE USAQUEN,Entre 5 y 10 años,1107000.0,3,2671-M3975887,0,1,1,0,0,1,0,1,0,0,0.0,CHAPINERO
835000000,140.0,3,3,5.0,RECODO DEL COUNTRY USAQUEN,Más de 20 años,616000.0,2,668-M3774369,0,0,0,0,0,1,0,0,0,0,0.0,CHAPINERO
360000000,90.0,3,2,4.0,SAN ANTONIO NORTE USAQUEN,Entre 10 y 20 años,280000.0,1,771-M4048088,0,0,0,1,0,0,0,0,0,1,,CHAPINERO
850000000,101.0,2,3,5.0,NUEVO COUNTRY USAQUEN,Entre 0 y 5 años,505000.0,2,5175-M3991514,0,0,0,0,0,0,1,0,0,1,,CHAPINERO
600000000,90.0,3,2,4.0,NUEVO COUNTRY USAQUEN,Entre 5 y 10 años,650000.0,2,5175-3322,0,0,0,0,0,0,0,0,0,0,0.0,CHAPINERO
545000000,123.0,3,2,5.0,RECODO DEL COUNTRY USAQUEN,Más de 20 años,523000.0,2,771-M3624609,0,0,0,0,0,0,0,0,1,0,1.0,CHAPINERO
352000000,76.0,3,2,3.0,SAN CRISTOBAL NORTE USAQUEN,Entre 5 y 10 años,272000.0,1,3608-M4096800,0,0,0,0,0,1,0,0,0,0,0.0,CHAPINERO
380000000,73.5,2,2,4.0,LA PRADERA NORTE USAQUEN,Entre 10 y 20 años,301000.0,1,10323-M4174820,0,0,0,1,0,1,0,0,0,1,,CHAPINERO
2100000000,380.0,3,5,6.0,RECODO DEL COUNTRY USAQUEN,Entre 10 y 20 años,2100000.0,3,5175-2205,0,0,0,0,0,0,1,0,1,0,,CHAPINERO
700000000,125.0,3,3,6.0,RECODO DEL COUNTRY USAQUEN,Más de 20 años,753000.0,2,771-M4132033,0,0,0,0,0,0,1,0,0,0,0.0,CHAPINERO
875000000,131.53,3,3,6.0,MOLINOS NORTE,Entre 5 y 10 años,700000.0,2,399-M3789407,0,0,0,1,0,0,0,0,0,1,,CHAPINERO
389000000,85.0,3,2,4.0,ESTRELLA DEL NORTE USAQUEN,Entre 10 y 20 años,209000.0,1,464-1784,0,0,0,0,0,0,1,0,0,1,,CHAPINERO
1750000000,270.0,3,4,6.0,MOLINOS NORTE,Más de 20 años,1350000.0,3,5175-M4129104,0,0,0,0,0,0,0,0,0,1,,CHAPINERO
